timestamp,value
1608507631.4733098,0
1608507689.869627,0
1608507749.908841,0
1608507809.9643526,0
1608507870.044921,0
1608507930.1171837,0
1608507990.1333978,0
1608508050.1975775,0
1608508110.2369215,0
1608508170.286483,0
1608508230.3989887,0
1608508290.4290946,0
1608508350.4767826,0
1608508410.5498693,0
1608508470.6146808,0
1608508530.6587968,0
1608508590.706067,0
1608508650.77568,241
1608508710.8905256,269
1608508770.8861191,268
1608508830.9676247,268
1608508891.0256445,268
1608508951.0856328,267
1608509011.1424897,268
1608509071.19284,269
1608509131.2783868,267
1608509191.3860214,267
1608509251.3846543,266
1608509311.4386513,267
1608509371.4891312,268
1608509431.5486724,0
1608509491.6889284,0
1608509551.6734083,0
1608509611.7335248,0
1608509671.8190944,0
1608509731.943158,0
1608509791.895375,0
1608509851.9474683,241
1608509911.9869807,269
1608509972.0995946,269
1608510032.2657046,270
1608510092.2782886,270
1608510152.28294,270
1608510212.5035918,269
1608510272.5365696,269
1608510332.505017,269
1608510392.5137389,269
1608510452.7258115,268
1608510512.6820347,269
1608510572.7387106,269
1608510632.9576147,30
1608510692.9605477,0
1608510752.8932908,0
1608510812.9616008,0
1608510872.947055,0
1608510933.1922376,0
1608510993.2115765,0
1608511053.1895866,0
1608511113.1886225,0
1608511173.4188077,0
1608511233.4093018,0
1608511293.4600565,0
1608511353.6309104,0
1608511413.65279,0
1608511473.6456664,0
1608511533.7098398,0
1608511593.7013726,0
1608511653.8691325,0
1608511713.8682137,0
1608511774.140695,0
1608511834.0893264,0
1608511894.091614,0
1608511954.0957181,0
1608512014.1046999,0
1608512074.3680315,0
1608512134.3200767,0
1608512194.3289318,0
1608512254.3372934,0
1608512314.6227477,0
1608512374.5727124,0
1608512434.5776372,0
1608512494.5756602,0
1608512554.6223202,0
1608512614.8204632,0
1608512674.806035,0
1608512735.0208712,0
1608512795.0958235,0
1608512854.9455636,0
1608512915.089806,274
1608512975.1128917,272
1608513035.2075367,272
1608513095.2003083,272
1608513155.3027592,273
1608513215.6863096,273
1608513275.5177867,273
1608513335.5208783,273
1608513395.5099363,273
1608513455.5667589,273
1608513515.6269624,273
1608513575.7281532,274
1608513635.7257392,0
1608513695.773776,0
1608513755.8550148,0
1608513815.9012716,0
1608513876.0371108,0
1608513935.986726,0
1608513996.0474982,0
1608514056.1091707,0
1608514116.2154026,0
1608514176.1990788,0
1608514236.2517247,0
1608514296.319852,0
1608514356.36934,0
1608514416.4452884,0
1608514476.4915211,0
1608514536.6596708,0
1608514596.7037666,0
1608514656.6595032,0
1608514716.708064,0
1608514776.8124545,0
1608514836.866458,0
1608514896.9183717,0
1608514957.1013467,0
1608515016.9749522,0
1608515077.0142953,0
1608515137.13307,0
1608515197.1433308,0
1608515257.1939983,0
1608515317.2593257,0
1608515377.380114,0
1608515437.3573122,0
1608515497.4126825,0
1608515557.4845643,0
1608515617.5588496,0
1608515677.5955927,0
1608515737.6471138,0
1608515797.820089,0
1608515857.8319137,0
1608515918.0441928,274
1608515977.8847625,270
1608516037.949262,271
1608516098.0047746,270
1608516158.2594829,269
1608516218.138966,270
1608516278.2745378,270
1608516338.320454,270
1608516398.5386343,270
1608516458.3647296,268
1608516518.4210234,269
1608516578.515752,0
